iter	RMSE
0	3927.6793
1	3821.947755
2	3718.192524
3	3618.240906
4	3520.738735
5	3425.941085
6	3335.190365
7	3248.033821
8	3163.50908
9	3081.269963
10	3001.19286
11	2924.609508
12	2850.207146
13	2778.383596
14	2707.668156
15	2638.353106
16	2572.628943
17	2507.482124
18	2445.79098
19	2386.66924
20	2329.067983
21	2273.82675
22	2218.505183
23	2166.747687
24	2114.916962
25	2066.531492
26	2018.630479
27	1973.312173
28	1928.201982
29	1885.534585
30	1844.873187
31	1805.21737
32	1767.020869
33	1731.098514
34	1694.516474
35	1659.305129
36	1625.342295
37	1593.273572
38	1561.482585
39	1532.407583
40	1503.466389
41	1475.202386
42	1449.592938
43	1422.245997
44	1396.063349
45	1369.960224
46	1345.624894
47	1323.948315
48	1302.823927
49	1282.679201
50	1260.894686
51	1240.471649
52	1220.399126
53	1203.044409
54	1184.976752
55	1168.468332
56	1150.54362
57	1133.644696
58	1118.283619
59	1103.583475
60	1087.167496
61	1074.374095
62	1059.813688
63	1046.390056
64	1032.785846
65	1020.037874
66	1008.22331
67	996.6862826
68	986.0469157
69	975.4967915
70	965.779338
71	956.6248265
72	948.1591523
73	937.8761155
74	928.6393304
75	919.5934686
76	912.7127413
77	904.4394989
78	896.0395916
79	888.0506534
80	882.0746974
81	874.8485426
82	867.3844919
83	861.6064183
84	854.7288096
85	848.287621
86	843.4231562
87	837.3197367
88	831.3000558
89	825.9099523
90	819.3209083
91	813.712661
92	808.5020036
93	803.3622382
94	798.8245183
95	794.8607379
96	789.3923221
97	784.8875561
98	780.4581124
99	776.9308535
100	773.000106
101	769.3843376
102	765.4641907
103	761.1277428
104	756.0452723
105	751.321084
106	747.9132767
107	744.982989
108	741.404136
109	737.6066824
110	734.4045315
111	731.1121513
112	729.294978
113	725.5644155
114	723.0688042
115	721.3844716
116	718.9251794
117	715.3036553
118	713.0456425
119	710.8574031
120	708.7878868
121	706.6904394
122	704.4642134
123	702.6336465
124	700.7742855
125	697.7393362
126	695.519238
127	694.3147265
128	692.3361551
129	690.7446629
130	688.7924991
131	687.2366413
132	685.8840609
133	684.120103
134	682.7218182
135	681.1206312
136	679.726827
137	677.5532444
138	676.2657128
139	674.9348013
140	673.3318507
141	672.1584166
142	670.5218802
143	669.6816687
144	668.4473906
145	667.2879682
146	665.5093491
147	664.1836558
148	663.411828
149	662.2362533
150	661.0980577
151	659.9248156
152	658.9965814
153	657.954677
154	656.7850528
155	656.0033482
156	654.3670245
157	653.4149356
158	652.4658245
159	651.5145116
160	650.7466265
161	649.7411744
162	648.9714949
163	648.2969742
164	647.3851894
165	646.4132291
166	645.8101712
167	645.3567574
168	644.3543145
169	643.7189054
170	643.0095456
171	642.3905358
172	641.7952237
173	641.0039624
174	640.1637284
175	639.0051281
176	637.8467357
177	637.2468152
178	636.5028219
179	635.9497626
180	635.2244313
181	634.7666836
182	634.0451047
183	633.4856668
184	632.6551102
185	632.0535088
186	631.4887686
187	630.9135716
188	630.5632361
189	630.0591954
190	629.561031
191	629.2681099
192	628.7586287
193	628.3006403
194	627.8521139
195	627.3373574
196	626.928154
197	625.8365683
198	625.3898473
199	625.0110898
200	624.5237316
201	624.0060508
202	623.6011639
203	622.7660653
204	622.1566333
205	621.7165117
206	621.3166277
207	620.6249683
208	620.2321034
209	619.9519075
210	619.4597411
211	619.1410111
212	618.7399357
213	618.2827812
214	617.9102456
215	617.5255602
216	617.1175024
217	616.9241372
218	616.6150614
219	616.169686
220	615.6438715
221	615.299332
222	614.9910204
223	614.6043323
224	614.2413067
225	613.6005336
226	613.1202704
227	612.7309444
228	612.4625989
229	612.1058785
230	611.4661474
231	611.0427848
232	610.7644874
233	610.2680251
234	610.0294499
235	609.7425885
236	609.3913891
237	609.0631375
238	608.9095323
239	608.5953886
240	608.2402522
241	607.9544277
242	607.7535304
243	607.5148712
244	607.0633188
245	606.8171588
246	606.2985764
247	605.9225292
248	605.6922255
249	605.5609086
250	605.4248663
251	605.1636838
252	604.9363588
253	604.5454229
254	604.4165256
255	604.2311831
256	603.9657474
257	603.7572995
258	603.627241
259	603.388479
260	603.2720057
261	602.8397393
262	602.6490266
263	602.3717407
264	602.2428044
265	602.0788349
266	601.8049984
267	601.5883824
268	601.3484156
269	601.2147601
270	600.860982
271	600.4728545
272	599.9790109
273	599.6491316
274	599.3659492
275	599.026938
276	598.8802581
277	598.5121534
278	598.384668
279	598.263118
280	598.1283683
281	597.994533
282	597.7894681
283	597.6265396
284	597.5506054
285	597.363663
286	597.170976
287	596.9107108
288	596.68063
289	596.1501657
290	595.9774901
291	595.8028304
292	595.7030975
293	595.4346457
