iter	Passed	Remaining
0	22	11376
1	44	11084
2	65	10871
3	89	11083
4	110	10895
5	129	10630
6	148	10471
7	168	10365
8	188	10260
9	207	10169
10	228	10161
11	248	10113
12	268	10054
13	288	10010
14	310	10025
15	331	10034
16	354	10062
17	375	10059
18	396	10046
19	421	10116
20	442	10092
21	463	10060
22	486	10084
23	508	10094
24	530	10084
25	552	10075
26	577	10120
27	598	10096
28	620	10074
29	641	10046
30	662	10022
31	684	10005
32	705	9980
33	727	9964
34	751	9979
35	773	9969
36	797	9974
37	821	9982
38	845	9990
39	867	9980
40	890	9966
41	912	9954
42	935	9947
43	959	9945
44	982	9935
45	1005	9923
46	1031	9939
47	1053	9917
48	1077	9915
49	1098	9884
50	1121	9874
51	1143	9854
52	1165	9833
53	1189	9820
54	1211	9800
55	1232	9770
56	1255	9758
57	1277	9734
58	1300	9722
59	1322	9699
60	1346	9691
61	1369	9674
62	1392	9658
63	1415	9644
64	1440	9641
65	1464	9629
66	1486	9607
67	1507	9579
68	1531	9563
69	1552	9537
70	1576	9527
71	1598	9504
72	1619	9474
73	1642	9455
74	1666	9441
75	1688	9422
76	1712	9404
77	1734	9386
78	1759	9377
79	1781	9352
80	1803	9330
81	1825	9307
82	1850	9294
83	1872	9273
84	1894	9251
85	1916	9228
86	1941	9215
87	1964	9196
88	1987	9178
89	2010	9157
90	2034	9142
91	2055	9117
92	2082	9113
93	2104	9088
94	2126	9064
95	2147	9038
96	2173	9028
97	2195	9004
98	2219	8988
99	2241	8966
100	2264	8947
101	2285	8919
102	2308	8897
103	2334	8889
104	2358	8871
105	2383	8861
106	2408	8844
107	2431	8826
108	2456	8810
109	2478	8788
110	2500	8764
111	2525	8750
112	2547	8723
113	2574	8717
114	2597	8696
115	2619	8671
116	2641	8648
117	2667	8634
118	2690	8613
119	2716	8603
120	2740	8583
121	2763	8561
122	2785	8536
123	2806	8509
124	2828	8486
125	2853	8469
126	2875	8445
127	2896	8418
128	2919	8396
129	2943	8377
130	2967	8357
131	2991	8338
132	3013	8316
133	3036	8292
134	3059	8273
135	3082	8250
136	3105	8228
137	3130	8210
138	3154	8192
139	3179	8174
140	3203	8156
141	3225	8132
142	3248	8109
143	3272	8089
144	3294	8066
145	3317	8042
146	3340	8022
147	3365	8004
148	3389	7983
149	3412	7961
150	3436	7941
151	3462	7926
152	3484	7902
153	3509	7884
154	3534	7866
155	3559	7849
156	3584	7831
157	3607	7808
158	3630	7786
159	3653	7763
160	3676	7740
161	3699	7718
162	3721	7693
163	3744	7671
164	3768	7650
165	3792	7631
166	3814	7605
167	3835	7578
168	3856	7552
169	3878	7528
170	3902	7508
171	3924	7483
172	3946	7459
173	3968	7435
174	3992	7414
175	4015	7392
176	4039	7371
177	4064	7352
178	4088	7331
179	4112	7310
180	4134	7287
181	4155	7260
182	4178	7238
183	4200	7213
184	4223	7191
185	4246	7168
186	4267	7143
187	4290	7120
188	4311	7093
189	4334	7072
190	4357	7048
191	4387	7038
192	4424	7037
193	4457	7030
194	4485	7016
195	4517	7006
196	4550	6999
197	4579	6985
198	4602	6962
199	4625	6938
200	4649	6916
201	4673	6894
202	4697	6872
203	4720	6848
204	4741	6823
205	4763	6799
206	4786	6775
207	4810	6753
208	4833	6729
209	4854	6703
210	4878	6682
211	4902	6660
212	4924	6635
213	4946	6611
214	4968	6585
215	4991	6562
216	5014	6540
217	5035	6514
218	5059	6491
219	5082	6468
220	5106	6446
221	5129	6423
222	5164	6414
223	5200	6407
224	5236	6400
225	5271	6391
226	5297	6370
227	5320	6347
228	5343	6323
229	5364	6297
230	5389	6276
231	5412	6252
232	5435	6228
233	5460	6207
234	5484	6184
235	5508	6162
236	5531	6138
237	5556	6116
238	5578	6091
239	5602	6069
240	5625	6045
241	5648	6022
242	5671	5998
243	5693	5973
244	5718	5951
245	5741	5928
246	5767	5907
247	5789	5882
248	5810	5857
249	5831	5831
250	5854	5808
251	5876	5783
252	5898	5758
253	5922	5735
254	5942	5709
255	5965	5685
256	5988	5662
257	6011	5639
258	6034	5614
259	6056	5590
260	6077	5564
261	6102	5543
262	6124	5518
263	6145	5493
264	6166	5468
265	6188	5443
266	6212	5421
267	6234	5397
268	6257	5373
269	6278	5348
270	6301	5325
271	6325	5301
272	6349	5279
273	6373	5257
274	6401	5237
275	6430	5219
276	6463	5203
277	6494	5186
278	6519	5163
279	6541	5140
280	6562	5114
281	6583	5089
282	6606	5065
283	6628	5041
284	6650	5016
285	6672	4992
286	6694	4968
287	6718	4945
288	6741	4921
289	6764	4898
290	6787	4874
291	6810	4851
292	6831	4826
293	6855	4803
294	6877	4779
295	6899	4755
296	6923	4732
297	6945	4708
298	6968	4684
299	6990	4660
300	7011	4635
301	7037	4613
302	7060	4590
303	7082	4566
304	7105	4542
305	7128	4519
306	7151	4495
307	7173	4471
308	7195	4447
309	7219	4425
310	7241	4400
311	7263	4376
312	7284	4352
313	7309	4329
314	7332	4306
315	7355	4282
316	7377	4258
317	7399	4235
318	7420	4210
319	7442	4186
320	7461	4161
321	7483	4136
322	7506	4113
323	7531	4091
324	7551	4066
325	7574	4042
326	7598	4020
327	7621	3996
328	7643	3972
329	7669	3950
330	7692	3927
331	7712	3902
332	7736	3880
333	7758	3856
334	7778	3831
335	7801	3807
336	7824	3784
337	7846	3760
338	7869	3737
339	7890	3713
340	7915	3690
341	7939	3667
342	7960	3643
343	7984	3620
344	8006	3597
345	8032	3575
346	8055	3551
347	8077	3528
348	8101	3505
349	8123	3481
350	8146	3458
351	8169	3434
352	8191	3410
353	8215	3388
354	8236	3364
355	8257	3340
356	8279	3316
357	8302	3293
358	8323	3269
359	8346	3245
360	8369	3222
361	8393	3199
362	8414	3175
363	8436	3152
364	8457	3128
365	8479	3104
366	8502	3081
367	8525	3058
368	8546	3034
369	8571	3011
370	8590	2987
371	8609	2962
372	8630	2938
373	8653	2915
374	8675	2891
375	8696	2867
376	8718	2844
377	8740	2820
378	8760	2797
379	8783	2773
380	8807	2750
381	8826	2726
382	8849	2703
383	8871	2679
384	8893	2656
385	8916	2633
386	8938	2609
387	8961	2586
388	8983	2563
389	9008	2540
390	9032	2518
391	9054	2494
392	9076	2471
393	9101	2448
