iter	RMSE
0	3667.425445
1	3340.732362
2	3046.390578
3	2782.42053
4	2543.283619
5	2333.077143
6	2142.310796
7	1974.740992
8	1823.422244
9	1686.788534
10	1563.758888
11	1451.24243
12	1357.505798
13	1266.713999
14	1195.589087
15	1127.337947
16	1063.83117
17	1014.192112
18	965.8569745
19	919.163405
20	884.5802534
21	854.7382115
22	829.5711409
23	803.3658553
24	781.0813867
25	760.3274545
26	741.9448276
27	728.7752381
28	716.8749998
29	703.6273562
30	694.1057157
31	682.7747617
32	675.8243222
33	668.518366
34	662.2407706
35	657.1950179
36	652.6703676
37	645.9057967
38	641.2292024
39	638.0341327
40	632.6824735
41	628.9776794
42	625.7033265
43	623.51259
44	621.420074
45	617.0827511
46	614.2912504
47	612.7228686
48	611.0730387
49	609.0319479
50	607.6037681
51	605.909294
52	604.1781736
53	601.7575021
54	600.2464866
55	599.3826365
56	598.7475766
57	597.6379659
58	596.7444561
59	595.9632911
60	595.525232
61	594.6594274
62	593.272296
63	592.6672111
64	592.0742282
65	591.4144182
66	590.2735245
67	589.6658006
68	588.9414959
69	588.6690394
70	588.1902296
71	587.1673745
72	586.557018
73	586.1392648
74	584.8020487
75	584.2804012
76	583.7034651
77	583.2882973
78	582.8055253
79	581.7745216
80	581.3212
81	580.849533
82	580.3503887
83	579.9273022
84	579.5619441
85	579.2007083
86	578.9980232
87	578.2039773
88	577.9691569
89	577.6111652
90	577.3348827
91	576.7461139
92	576.3895441
93	575.989965
94	575.6516304
95	575.2264804
96	574.9961076
97	574.5637739
98	574.2470255
99	573.9822822
