iter	Passed	Remaining
0	49	4854
1	94	4624
2	143	4648
3	190	4561
4	237	4514
5	284	4451
6	335	4457
7	385	4428
8	442	4473
9	509	4588
10	583	4724
11	643	4720
12	697	4667
13	754	4637
14	824	4674
15	912	4788
16	982	4797
17	1043	4752
18	1102	4699
19	1160	4640
20	1216	4577
21	1271	4506
22	1325	4437
23	1377	4361
24	1430	4290
25	1482	4218
26	1533	4146
27	1583	4071
28	1636	4007
29	1685	3932
30	1737	3866
31	1793	3810
32	1862	3781
33	1928	3743
34	2002	3719
35	2066	3673
36	2119	3609
37	2174	3548
38	2227	3484
39	2280	3420
40	2332	3357
41	2387	3297
42	2440	3235
43	2498	3179
44	2573	3145
45	2631	3089
46	2681	3024
47	2743	2972
48	2811	2926
49	2872	2872
50	2933	2818
51	3003	2772
52	3077	2728
53	3146	2680
54	3207	2624
55	3261	2562
56	3333	2514
57	3409	2468
58	3485	2421
59	3545	2363
60	3595	2298
61	3651	2237
62	3705	2176
63	3765	2117
64	3822	2058
65	3871	1994
66	3923	1932
67	3976	1871
68	4027	1809
69	4079	1748
70	4144	1692
71	4211	1637
72	4292	1587
73	4353	1529
74	4406	1468
75	4454	1406
76	4502	1344
77	4552	1283
78	4599	1222
79	4652	1163
80	4699	1102
81	4748	1042
82	4800	983
83	4847	923
84	4893	863
85	4942	804
86	4990	745
87	5038	687
88	5091	629
89	5163	573
90	5237	518
91	5300	460
92	5359	403
93	5435	346
94	5516	290
95	5576	232
96	5633	174
97	5698	116
98	5759	58
99	5815	0
